State	Year	Miles (millions)	Fatalities
Alabama	2009	61299.67456	848
Alaska	2009	4933	64
Arizona	2009	61628	806
Arkansas	2009	33154.23913	596
California	2009	324486	3090
Colorado	2009	46230.34702	465
Connecticut	2009	31420	224
Delaware	2009	9080	116
District of Columbia	2009	3608	29
Florida	2009	196379.3701	2560
Georgia	2009	109258	1292
Hawaii	2009	9973	109
Idaho	2009	15531	226
Illinois	2009	105846	911
Indiana	2009	76628	693
Iowa	2009	31065	371
Kansas	2009	29496.7353	386
Kentucky	2009	47355	791
Louisiana	2009	44863	824
Maine	2009	14491	159
Maryland	2009	55293	549
Massachusetts	2009	54812	340
Michigan	2009	96769	872
Minnesota	2009	56878.52103	421
Mississippi	2009	40427	700
Missouri	2009	69003	878
Montana	2009	11011	221
Nebraska	2009	19359	223
Nevada	2009	20454	243
New Hampshire	2009	12975.43193	110
New Jersey	2009	73029	584
New Mexico	2009	26013	361
New York	2009	133491	1158
North Carolina	2009	102589.997	1313
North Dakota	2009	8154	140
Ohio	2009	110591.2941	1022
Oklahoma	2009	46996.98814	737
Oregon	2009	33972	377
Pennsylvania	2009	103205.7602	1256
Rhode Island	2009	8250	83
South Carolina	2009	49130	894
South Dakota	2009	8837.961674	131
Tennessee	2009	70226	986
Texas	2009	229984.1978	3104
Utah	2009	26264	244
Vermont	2009	7646	74
Virginia	2009	80927	758
Washington	2009	56417	492
West Virginia	2009	19606	357
Wisconsin	2009	58157	561
Wyoming	2009	9568	134
