State	Year	Miles (millions)	Fatalities
Alabama	2017	70677.2482	948
Alaska	2017	5518.7163	79
Arizona	2017	65069.57894	998
Arkansas	2017	36389.32516	525
California	2017	343862.1124	3884
Colorado	2017	53382.10272	648
Connecticut	2017	31500.06154	281
Delaware	2017	10466.907	119
District of Columbia	2017	3715.86458	31
Florida	2017	218825.8034	3116
Georgia	2017	124733.3944	1540
Hawaii	2017	10748.61946	107
Idaho	2017	17300.37193	245
Illinois	2017	108011.2553	1090
Indiana	2017	81751.85677	916
Iowa	2017	33482.08768	330
Kansas	2017	32258.18896	461
Kentucky	2017	49239.33409	782
Louisiana	2017	49220.89766	770
Maine	2017	14738.11789	173
Maryland	2017	60044.56432	558
Massachusetts	2017	62660.41137	347
Michigan	2017	101757.1987	1031
Minnesota	2017	59970.85392	358
Mississippi	2017	40877.09802	685
Missouri	2017	75911.31624	932
Montana	2017	12644.67235	186
Nebraska	2017	21002.01479	228
Nevada	2017	27587.00971	311
New Hampshire	2017	13681.37662	102
New Jersey	2017	77508.60231	624
New Mexico	2017	29680.1674	380
New York	2017	123731.84	1006
North Carolina	2017	119176.3686	1412
North Dakota	2017	9716.83639	116
Ohio	2017	119597.9667	1179
Oklahoma	2017	49402.26041	657
Oregon	2017	36752.88329	439
Pennsylvania	2017	101614.0539	1137
Rhode Island	2017	8000.98044	84
South Carolina	2017	55497.23573	989
South Dakota	2017	9642.55937	129
Tennessee	2017	82253.26396	1024
Texas	2017	272980.9071	3732
Utah	2017	31475.02571	273
Vermont	2017	7424.41989	69
Virginia	2017	85262.94494	839
Washington	2017	61419.92487	563
West Virginia	2017	19072.33545	304
Wisconsin	2017	65323.70927	613
Wyoming	2017	9784.66527	123
