State	Year	Miles (millions)	Fatalities
Alabama	2012	64959.17207	865
Alaska	2012	4792.081999	59
Arizona	2012	60129.35825	821
Arkansas	2012	33522.13681	560
California	2012	326271.6506	2966
Colorado	2012	46768.77109	474
Connecticut	2012	31269.36372	264
Delaware	2012	9185.73807	114
District of Columbia	2012	3571.830096	15
Florida	2012	191373.7705	2431
Georgia	2012	107488.4972	1192
Hawaii	2012	10049.66346	125
Idaho	2012	16314.57164	184
Illinois	2012	104578.407	956
Indiana	2012	78922.58	781
Iowa	2012	31596.24047	365
Kansas	2012	30572.47519	405
Kentucky	2012	47343.94452	746
Louisiana	2012	46889.04026	723
Maine	2012	14198.8263	164
Maryland	2012	56475.58826	511
Massachusetts	2012	55939.71675	383
Michigan	2012	94547.98654	940
Minnesota	2012	56988.31803	395
Mississippi	2012	38667.12981	582
Missouri	2012	68503.68445	826
Montana	2012	11885.12375	205
Nebraska	2012	19276.55085	212
Nevada	2012	24148.28844	261
New Hampshire	2012	12893.65174	108
New Jersey	2012	74225.3757	589
New Mexico	2012	25561.64959	366
New York	2012	128220.5631	1180
North Carolina	2012	104949.9412	1299
North Dakota	2012	10081.49157	170
Ohio	2012	112715.1131	1121
Oklahoma	2012	47871.81167	709
Oregon	2012	33172.93743	337
Pennsylvania	2012	98884.38578	1310
Rhode Island	2012	7806.872883	64
South Carolina	2012	49036.19029	863
South Dakota	2012	9113.47146	133
Tennessee	2012	71166.87119	1015
Texas	2012	237835.8227	3408
Utah	2012	26527.83436	217
Vermont	2012	7215.657792	77
Virginia	2012	80958.66779	776
Washington	2012	56762.00621	438
West Virginia	2012	19225.78561	339
Wisconsin	2012	59087.29989	615
Wyoming	2012	9270.993558	123
