State	Year	Miles (millions)	Fatalities
Alabama	2007	61410	1110
Alaska	2007	5153	82
Arizona	2007	62963	1071
Arkansas	2007	33171	649
California	2007	328312	3995
Colorado	2007	48713	554
Connecticut	2007	32053	296
Delaware	2007	9483	117
District of Columbia	2007	3609	44
Florida	2007	206121	3213
Georgia	2007	112541	1641
Hawaii	2007	10345	138
Idaho	2007	15782	252
Illinois	2007	107483	1248
Indiana	2007	71478	898
Iowa	2007	31253	446
Kansas	2007	30048	416
Kentucky	2007	48063	864
Louisiana	2007	45376	993
Maine	2007	15035	183
Maryland	2007	56503	614
Massachusetts	2007	55071	434
Michigan	2007	104614	1087
Minnesota	2007	57233	510
Mississippi	2007	43337	884
Missouri	2007	69151	992
Montana	2007	11307	277
Nebraska	2007	19439	256
Nevada	2007	22146	373
New Hampshire	2007	13459	129
New Jersey	2007	76152	724
New Mexico	2007	26850	413
New York	2007	136737	1332
North Carolina	2007	103598	1676
North Dakota	2007	7844	111
Ohio	2007	110631	1255
Oklahoma	2007	47572	766
Oregon	2007	34750	455
Pennsylvania	2007	108699	1491
Rhode Island	2007	8636	69
South Carolina	2007	51109	1077
South Dakota	2007	9005	146
Tennessee	2007	71179	1211
Texas	2007	243443	3466
Utah	2007	26832	299
Vermont	2007	7694	66
Virginia	2007	82077	1027
Washington	2007	56939	571
West Virginia	2007	20564	432
Wisconsin	2007	59493	756
Wyoming	2007	9366	150
