State	Year	Miles (millions)	Fatalities
Alabama	2014	65666.60432	820
Alaska	2014	4856.704008	73
Arizona	2014	62630.73598	773
Arkansas	2014	34023.96012	470
California	2014	332857.198	3102
Colorado	2014	48985.14118	488
Connecticut	2014	31190.31408	248
Delaware	2014	9596.403603	124
District of Columbia	2014	3527.5882	23
Florida	2014	201040.4039	2494
Georgia	2014	111534.8934	1164
Hawaii	2014	10174.34633	95
Idaho	2014	16154.04002	186
Illinois	2014	104905.5064	924
Indiana	2014	79203.62949	745
Iowa	2014	31413.67447	322
Kansas	2014	30709.71729	385
Kentucky	2014	47940.63478	672
Louisiana	2014	48251.73611	740
Maine	2014	14301.4973	131
Maryland	2014	56431.74512	442
Massachusetts	2014	57552.34578	354
Michigan	2014	97384.02233	901
Minnesota	2014	57394.87165	361
Mississippi	2014	39499.19021	607
Missouri	2014	70909.03657	766
Montana	2014	12157.12895	192
Nebraska	2014	19612.58157	225
Nevada	2014	25301.90126	291
New Hampshire	2014	12970.40852	95
New Jersey	2014	74856.38516	556
New Mexico	2014	25347.19786	386
New York	2014	129263.0117	1041
North Carolina	2014	108012.1312	1284
North Dakota	2014	10511.26907	135
Ohio	2014	112766.2818	1006
Oklahoma	2014	47698.78222	669
Oregon	2014	34610.07129	357
Pennsylvania	2014	99881.53756	1195
Rhode Island	2014	7676.978023	51
South Carolina	2014	49931.2691	823
South Dakota	2014	9225.040605	136
Tennessee	2014	72335.75425	963
Texas	2014	243075.8458	3536
Utah	2014	27554.41929	256
Vermont	2014	7059.200784	44
Virginia	2014	80984.63614	703
Washington	2014	58059.8	462
West Virginia	2014	19117.49047	272
Wisconsin	2014	60053.38039	506
Wyoming	2014	9457.283095	150
