State	Year	Miles (millions)	Fatalities
Alabama	2010	64165.14864	862
Alaska	2010	4798.261974	56
Arizona	2010	59995.1587	759
Arkansas	2010	33504.42526	571
California	2010	322849.3982	2720
Colorado	2010	46939.92729	450
Connecticut	2010	31294.41665	320
Delaware	2010	8947.67132	101
District of Columbia	2010	3590.818444	24
Florida	2010	195754.7133	2444
Georgia	2010	111722.467	1247
Hawaii	2010	9994.649305	113
Idaho	2010	15801.20628	209
Illinois	2010	105787.8524	927
Indiana	2010	75760.50984	754
Iowa	2010	31388.61561	390
Kansas	2010	29899.65838	431
Kentucky	2010	48006.7429	760
Louisiana	2010	45438.69082	721
Maine	2010	14549.3831	161
Maryland	2010	56125.52196	496
Massachusetts	2010	54361.98633	347
Michigan	2010	97567.36027	942
Minnesota	2010	56631.67446	411
Mississippi	2010	39841.02978	641
Missouri	2010	70863.99668	821
Montana	2010	11189.80595	189
Nebraska	2010	19437.95166	190
Nevada	2010	22201.41949	257
New Hampshire	2010	13065.22025	128
New Jersey	2010	73027.65919	556
New Mexico	2010	25273.67897	349
New York	2010	131252.0615	1201
North Carolina	2010	102384.9676	1320
North Dakota	2010	8262.258786	105
Ohio	2010	111835.7316	1080
Oklahoma	2010	47745.91733	668
Oregon	2010	33774.10556	317
Pennsylvania	2010	100328.7123	1324
Rhode Island	2010	8280.220439	67
South Carolina	2010	49124.3352	809
South Dakota	2010	8865.980485	140
Tennessee	2010	70438.82433	1032
Texas	2010	234015.906	3023
Utah	2010	26585.22215	253
Vermont	2010	7247.55584	71
Virginia	2010	82170.61428	740
Washington	2010	57190.44282	460
West Virginia	2010	19203.03357	315
Wisconsin	2010	59420.26643	572
Wyoming	2010	9362.789824	155
