State	Year	Miles (millions)	Fatalities
Alabama	2008	59303	969
Alaska	2008	4865	62
Arizona	2008	61628	938
Arkansas	2008	33163	600
California	2008	327286	3434
Colorado	2008	47860	548
Connecticut	2008	31737	302
Delaware	2008	8976	121
District of Columbia	2008	3611	34
Florida	2008	198616	2980
Georgia	2008	109057	1495
Hawaii	2008	10278	107
Idaho	2008	15251	232
Illinois	2008	106079	1043
Indiana	2008	70973	820
Iowa	2008	30713	412
Kansas	2008	29727	384
Kentucky	2008	47534	825
Louisiana	2008	45091	916
Maine	2008	14559	155
Maryland	2008	55023	591
Massachusetts	2008	54505	364
Michigan	2008	101825	980
Minnesota	2008	57995	455
Mississippi	2008	43711	783
Missouri	2008	68273	960
Montana	2008	10812	229
Nebraska	2008	19170	208
Nevada	2008	20780	324
New Hampshire	2008	13040	138
New Jersey	2008	73629	590
New Mexico	2008	26279	366
New York	2008	134085	1238
North Carolina	2008	101712	1428
North Dakota	2008	7820	104
Ohio	2008	108302	1191
Oklahoma	2008	48499	750
Oregon	2008	33468	416
Pennsylvania	2008	107848	1468
Rhode Island	2008	8187	65
South Carolina	2008	49597	921
South Dakota	2008	8986	121
Tennessee	2008	69469	1043
Texas	2008	235382	3476
Utah	2008	25974	276
Vermont	2008	7312	73
Virginia	2008	82278	825
Washington	2008	55558	521
West Virginia	2008	20774	378
Wisconsin	2008	57462	605
Wyoming	2008	9447	159
