State	Year	Miles (millions)	Fatalities
Alabama	2011	64914.37237	895
Alaska	2011	4593.089397	72
Arizona	2011	59574.9492	826
Arkansas	2011	32952.94952	551
California	2011	320783.9054	2816
Colorado	2011	46606.26373	447
Connecticut	2011	31197.24686	221
Delaware	2011	9028.172588	99
District of Columbia	2011	3568.115084	27
Florida	2011	191854.9549	2400
Georgia	2011	108453.5027	1226
Hawaii	2011	10066.37931	100
Idaho	2011	15936.59932	167
Illinois	2011	103234.0169	918
Indiana	2011	76485.23088	751
Iowa	2011	31274.31114	360
Kansas	2011	30021.24703	386
Kentucky	2011	48061.31448	720
Louisiana	2011	46512.71124	680
Maine	2011	14248.22904	136
Maryland	2011	56220.50652	485
Massachusetts	2011	54791.71248	374
Michigan	2011	94754.26973	889
Minnesota	2011	56684.71798	368
Mississippi	2011	38850.7218	630
Missouri	2011	68789.22335	786
Montana	2011	11659.59807	209
Nebraska	2011	19093.31857	181
Nevada	2011	24189.31581	246
New Hampshire	2011	12719.52976	90
New Jersey	2011	73093.7711	627
New Mexico	2011	25650.16525	350
New York	2011	127725.6673	1171
North Carolina	2011	103772.3593	1230
North Dakota	2011	9130.650273	148
Ohio	2011	111989.9482	1017
Oklahoma	2011	47463.57742	696
Oregon	2011	33373.39764	331
Pennsylvania	2011	99204.17877	1286
Rhode Island	2011	7901.42839	66
South Carolina	2011	48730.17947	828
South Dakota	2011	9002.048071	111
Tennessee	2011	70751.10387	937
Texas	2011	237439.8911	3054
Utah	2011	26221.62634	243
Vermont	2011	7141.03908	55
Virginia	2011	80973.99206	764
Washington	2011	56954.57284	454
West Virginia	2011	18963.12603	338
Wisconsin	2011	58553.70387	582
Wyoming	2011	9244.90554	135
